Year,Australia,Canada,Germany,Japan,United Kingdom,United States
1985,545600,,,,,
1986,582200,,,,,
1987,596600,1152000,,,,
1988,617400,1188800,,,,
1989,651900,1230400,,,,
1990,662000,1284300,,,,
1991,690300,1310000,2917000,,2293000,
1992,692600,1326900,2968000,,2481000,
1993,690600,1348500,3056000,,2615000,
1994,711500,1364200,3140000,,2671000,
1995,744400,1388600,3250000,,2736000,
1996,767400,1392800,3376000,,2832000,
1997,778100,1384600,3467000,,2919000,
1998,813400,1425200,3573000,,2955000,
1999,817000,1436900,3541000,,2988000,
2000,849800,1516900,3615000,,2981000,14933000
2001,899200,1545500,3680000,,3077000,15313000
2002,933600,1614000,3763000,,3092000,15900000
2003,933000,1677900,3827000,5020000,3203000,16434000
2004,981200,1723200,4057000,5310000,3369000,16661000
2005,1015800,1723400,4058000,5530000,3442000,16910000
2006,1078000,1776000,4186000,5710000,3541000,17416000
2007,1100600,1838500,4298000,5790000,3419000,17834000
2008,1138300,1890100,4402000,5980000,3593000,18233000
2009,1218100,1961600,4527000,6210000,3737500,18632000
2010,1268700,2041600,4685000,6530000,3848000,18907000
2011,1336100,2084100,4766000,6480000,3930700,18902000
2012,1383900,2141000,4871000,7060000,3869500,19405000
2013,,2189900,4855000,7350000,4026800,19562000
2014,,2219700,4968000,,4099500,19577000
