Year,Australia,Canada,Germany,Japan,United Kingdom,United States
Country Code,AUS,CAN,DEU,JPN,GBR,USA
Indicator Name,"Life expectancy at birth, total (years)","Life expectancy at birth, total (years)","Life expectancy at birth, total (years)","Life expectancy at birth, total (years)","Life expectancy at birth, total (years)","Life expectancy at birth, total (years)"
Indicator Code,SP.DYN.LE00.IN,SP.DYN.LE00.IN,SP.DYN.LE00.IN,SP.DYN.LE00.IN,SP.DYN.LE00.IN,SP.DYN.LE00.IN
1960,70.81707317,71.13317073,69.31295122,67.66609756,71.12682927,69.77073171
1961,70.97317073,71.34609756,69.50995122,68.31,70.87804878,70.27073171
1962,70.94243902,71.36707317,69.6925122,68.59487805,70.92682927,70.1195122
1963,70.91170732,71.38073171,69.86009756,69.65804878,70.82682927,69.91707317
1964,70.88097561,71.77634146,70.01370732,70.13243902,71.62439024,70.16585366
1965,70.8502439,71.87219512,70.15182927,70.20195122,71.62439024,70.21463415
1966,70.8195122,72.00439024,70.27092683,70.98658537,71.57317073,70.21219512
1967,70.86926829,72.20780488,70.3735122,71.27658537,72.12439024,70.56097561
1968,70.91902439,72.35341463,70.46509756,71.61121951,71.72439024,69.95121951
1969,70.96878049,72.50146341,70.55068293,71.83878049,71.72195122,70.50731707
1970,71.01853659,72.7004878,70.63978049,71.9502439,71.97317073,70.80731707
1971,71.06829268,73.02926829,70.74287805,72.88292683,72.27317073,71.10731707
1972,71.45756098,72.93390244,70.867,73.50658537,72.12439024,71.15609756
1973,71.84682927,73.16268293,71.01668293,73.75756098,72.32439024,71.35609756
1974,72.23609756,73.23756098,71.19541463,74.39390244,72.52439024,71.95609756
1975,72.62536585,73.52170732,71.40173171,75.05731707,72.72439024,72.60487805
1976,73.01463415,73.85609756,71.63414634,75.45682927,72.77560976,72.85609756
1977,73.34439024,74.21560976,71.88368293,75.89829268,73.22439024,73.25609756
1978,73.67414634,74.5297561,72.14280488,76.03829268,73.17560976,73.35609756
1979,74.00390244,74.86634146,72.40853659,76.33756098,73.27560976,73.80487805
1980,74.33365854,75.07804878,72.67790244,76.09170732,73.67560976,73.6097561
1981,74.66341463,75.47853659,72.95239024,76.41439024,74.02682927,74.0097561
1982,74.90487805,75.6804878,73.23097561,76.92292683,74.17804878,74.36097561
1983,75.14634146,76.03634146,73.51214634,76.96146341,74.37804878,74.46341463
1984,75.38780488,76.31756098,73.79285366,77.36536585,74.77804878,74.56341463
1985,75.62926829,76.30341463,74.06453659,77.6504878,74.62926829,74.56341463
1986,75.87073171,76.44,74.32163415,78.06463415,74.92926829,74.61463415
1987,76.15170732,76.7395122,74.55960976,78.48365854,75.2804878,74.76585366
1988,76.43268293,76.80926829,74.77895122,78.39926829,75.3804878,74.76585366
1989,76.71365854,77.06560976,74.98268293,78.81804878,75.58292683,75.01707317
1990,76.99463415,77.37707317,75.17736585,78.83682927,75.8804878,75.21463415
1991,77.27560976,77.55341463,75.3195122,79.10073171,76.08292683,75.36585366
1992,77.37804878,77.32073171,75.8195122,79.15390244,76.43414634,75.61707317
1993,77.87804878,77.68512195,75.87073171,79.29365854,76.38536585,75.4195122
1994,77.87804878,77.86195122,76.27073171,79.68707317,76.88536585,75.6195122
1995,77.82926829,77.97756098,76.42195122,79.53634146,76.83658537,75.62195122
1996,78.07804878,78.2304878,76.67317073,80.2002439,77.08780488,76.02682927
1997,78.4804878,78.4804878,77.07317073,80.42414634,77.21097561,76.42926829
1998,78.63170732,78.66243902,77.47560976,80.50146341,77.1902439,76.5804878
1999,78.93170732,78.88292683,77.72682927,80.57073171,77.3902439,76.58292683
2000,79.23414634,79.23658537,77.92682927,81.07609756,77.74146341,76.63658537
2001,79.63414634,79.48780488,78.32926829,81.41707317,77.99268293,76.83658537
2002,79.93658537,79.5902439,78.22926829,81.56341463,78.14390244,76.93658537
2003,80.23902439,79.83902439,78.3804878,81.76,78.44634146,77.03658537
2004,80.4902439,80.14146341,78.6804878,82.0302439,78.74634146,77.48780488
2005,80.84146341,80.29268293,78.93170732,81.92512195,79.04878049,77.48780488
2006,81.04146341,80.41878049,79.13170732,82.32195122,79.24878049,77.68780488
2007,81.29268293,80.63439024,79.53414634,82.50707317,79.44878049,77.98780488
2008,81.39512195,80.82536585,79.73658537,82.58756098,79.6,78.03902439
2009,81.54390244,81.11146341,79.83658537,82.93146341,80.05121951,78.3902439
2010,81.69512195,81.41292683,79.98780488,82.84268293,80.40243902,78.54146341
2011,81.89512195,81.34929268,80.74146341,82.59121951,80.95121951,78.64146341
2012,82.04634146,81.56243902,80.89268293,83.09609756,80.90487805,78.74146341
2013,82.14878049,81.76504878,80.84390244,83.33195122,81.00487805,78.84146341
2014,82.25121951,81.95660976,80.84390244,83.58780488,81.05609756,78.94146341
