Year,Australia,Canada,Germany,UK,Japan,United States
2014,3.105707582,3.037650114,2.599763346,1.536621551,1.678662395,8.862236639
2013,3.088821341,3.089501889,2.595344615,1.558605594,1.719157574,8.852715336
2012,3.071751871,3.128067669,2.630805194,1.608200097,1.759884403,8.974997335
2011,2.883968272,3.144503782,2.625114684,1.573288975,1.753600131,8.98300456
2010,2.887937657,3.316736588,2.675829244,1.5653534,1.716527786,8.936973765
2009,2.859499949,3.258934344,2.693392621,1.647057872,1.760467638,8.984592895
2008,2.855865054,2.968013347,2.490728958,1.630744007,1.604004849,8.654733181
2007,2.764754097,2.941382643,2.447885789,1.621657452,1.533489642,8.5496837
2006,2.830303359,2.962368301,2.48248198,1.536662559,1.597695328,8.387510061
2005,2.792444146,2.849039314,2.510843771,1.577024196,1.524083101,8.431373924
2004,2.849421651,2.836036952,2.451048612,1.496472833,1.56213789,8.437564768
2003,2.81232385,2.846071267,2.326357608,1.602545849,1.575534229,8.439830173
2002,2.769778185,2.855655212,2.218314481,1.527999206,1.486925944,8.125464474
2001,2.757680043,2.730964529,2.12032938,1.544907809,1.449278961,7.654664584
2000,2.678633484,2.570134962,2.104390307,1.417344237,1.445632503,7.416367432
1999,2.462831561,2.622211131,2.036389524,1.322421896,1.431872587,7.376366164
1998,2.578054331,2.598450579,2.008879476,1.289292735,1.356009431,7.310669142
1997,2.482751708,2.570976497,1.94824491,1.275066537,1.255632054,7.131892085
1996,2.586739386,2.524236887,1.796538903,1.084905542,1.147703343,7.152823389
1995,2.484502645,2.54784798,1.752519133,1.002806736,1.171100595,7.177175022
