Year,Australia,Canada,Germany,UK,Japan,United States
2014,6.316592658,7.411931884,8.697237324,7.578850169,8.550081685,8.278517711
2013,6.274917139,7.575664928,8.569493975,7.780480938,8.528219096,8.045006774
2012,6.285633269,7.651144554,8.361114536,7.80263316,8.409920777,8.042357809
2011,6.315378278,7.676792501,8.307622306,7.765411293,8.318249839,8.07412666
2010,6.127334253,7.88439634,8.575730796,7.94167603,7.861969364,8.079784435
2009,6.186556011,7.914158212,8.709862289,8.162898056,7.753493212,8.014549675
2008,5.927631008,7.063453852,7.901738662,7.220152923,6.995021791,7.367883673
2007,5.765876395,6.893501359,7.732519511,6.794481096,6.715044868,7.01636006
2006,5.660886591,6.788407823,7.85851875,6.826598411,6.596439242,6.882532539
2005,5.661448484,6.723559526,8.006701839,6.658344919,6.657459569,6.722608978
2004,5.724898889,6.719901986,7.919819258,6.482429976,6.47273952,6.69810039
2003,5.50612734,6.694243643,8.289385968,6.209568,6.420410051,6.618867537
2002,5.620660145,6.514305746,8.181587749,6.040016206,6.361552576,6.423940796
2001,5.42099866,6.364904681,8.03376379,5.765949885,6.297406179,6.074098006
2000,5.399511666,6.098426758,7.998752643,5.523467366,6.087614007,5.653471018
1999,5.326927409,6.107698328,8.012330015,5.503507084,5.909097683,5.613684996
1998,5.084647809,6.228970762,8.040406659,5.273439395,5.652911799,5.676669198
1997,5.016476282,6.033111823,8.08569888,5.216401283,5.469916116,5.830750135
1996,4.856308024,6.112419053,8.117369547,5.574901951,5.342586047,5.891274291
1995,4.775232585,6.3135005,7.678673477,5.613873295,5.451500805,5.909478788
